,Event,Division,p.1,p.2,p.3,p.4,p.5,p.6,p.7,p.8,p.9,p.10,p.11,p.12
0,Battles,Barisal,0.2,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Battles,Chittagong,0.51,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Battles,Dhaka,0.42,0.72,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Battles,Khulna,0.41,0.72,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Battles,Mymensingh,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Battles,Rajshahi,0.52,0.72,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Battles,Rangpur,0.42,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Battles,Sylhet,0.32,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Explosions/Remote violence,Barisal,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Explosions/Remote violence,Chittagong,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Explosions/Remote violence,Dhaka,0.25,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Explosions/Remote violence,Khulna,0.22,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Explosions/Remote violence,Mymensingh,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Explosions/Remote violence,Rajshahi,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Explosions/Remote violence,Rangpur,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Explosions/Remote violence,Sylhet,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Riots,Barisal,0.14,0.19,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Riots,Chittagong,0.23,0.33,0.39,0.45,0.53,0.56,0.63,0.72,0.0,0.0,0.0,0.0
18,Riots,Dhaka,0.19,0.34,0.41,0.45,0.48,0.5,0.53,0.58,0.63,0.66,0.7,0.75
19,Riots,Khulna,0.3,0.4,0.43,0.47,0.52,0.58,0.0,0.0,0.0,0.0,0.0,0.0
20,Riots,Mymensingh,0.32,0.35,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Riots,Rajshahi,0.23,0.3,0.36,0.42,0.48,0.52,0.57,0.65,0.0,0.0,0.0,0.0
22,Riots,Rangpur,0.27,0.37,0.44,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Riots,Sylhet,0.23,0.33,0.41,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Violence against civilians,Barisal,0.42,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Violence against civilians,Chittagong,0.68,0.9,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Violence against civilians,Dhaka,0.52,0.79,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Violence against civilians,Khulna,0.69,0.79,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Violence against civilians,Mymensingh,0.7,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Violence against civilians,Rajshahi,0.6,0.81,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Violence against civilians,Rangpur,0.55,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Violence against civilians,Sylhet,0.52,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
